year,occurrence
1900,1638
1901,3346
1902,3237
1903,3128
1904,3117
1905,3485
1906,3196
1907,3169
1908,3109
1909,3221
1910,3608
1911,3996
1912,3305
1913,534
1914,687
1915,523
1916,527
1917,779
1918,693
1919,2398
1920,959
1921,1061
1922,733
1923,685
1924,595
1925,650
1926,551
1927,632
1928,1455
1929,678
1930,653
1931,558
1932,617
1933,676
1934,557
1935,663
1936,708
1937,1203
1938,854
1939,1000
1940,1025
1941,1533
1942,1040
1943,951
1944,1180
1945,2090
1946,1737
1947,2106
1948,2157
1949,2593
1950,3072
1951,3289
1952,3445
1953,3836
1954,4380
1955,4781
1956,4978
1957,5320
1958,5691
1959,6297
1960,7250
1961,7367
1962,7344
1963,7847
1964,7882
1965,7892
1966,8388
1967,8640
1968,8957
1969,10369
1970,11380
1971,11482
1972,12478
1973,13364
1974,13842
1975,15288
1976,15641
1977,16242
1978,17419
1979,18093
1980,20508
1981,20041
1982,21971
1983,23467
1984,24997
1985,27058
1986,27987
1987,29266
1988,27967
1989,27533
1990,27621
1991,26943
1992,25371
1993,22454
1994,21002
1995,19240
1996,16714
1997,13995
1998,12875
1999,11026
2000,22705
2001,13019
2002,11596
2003,10020
2004,9353
2005,9606
2006,9510
2007,9918
2008,10609
2009,11633
2010,18357
2011,17539
2012,7495
2013,1585
2014,1080
2015,873
2016,943
2017,1058
2018,1537
2019,1945
2020,3053
2021,7099
2022,1356
2023,577
2024,737
2025,840
2026,844
2027,1106
2028,1644
2029,1277
2030,2801
2031,6470
2032,1068
2033,575
2034,496
2035,628
2036,800
2037,1028
2038,1495
2039,1215
2040,1015
2041,6638
2042,1411
2043,383
2044,505
2045,653
2046,850
2047,1115
2048,1611
2049,1185
2050,922
2051,6362
2052,893
2053,388
2054,453
2055,717
2056,794
2057,1091
2058,1634
2059,1147
2060,811
2061,6252
2062,834
2063,448
2064,459
2065,620
2066,796
2067,1184
2068,1630
2069,1385
2070,731
2071,6276
2072,808
2073,446
2074,508
2075,548
2076,705
2077,1106
2078,1608
2079,1144
2080,926
2081,6203
2082,812
2083,430
2084,465
2085,696
2086,754
2087,1072
2088,1543
2089,1218
2090,818
2091,6004
2092,809
2093,402
2094,348
2095,543
2096,761
2097,1038
2098,1558
2099,1226
