less than a second,9541385
0,1351555
1,3102865
1 second,108699
centuries,2529
2 seconds,22461
1 day,7822
13 minutes,900
2 minutes,42395
3 seconds,15678
2,294524
10 seconds,40039
3 hours,9147
17 minutes,51444
3 days,1156
8 seconds,3086
37 seconds,506
8 minutes,2360
4 days,686
22 seconds,1300
4 seconds,9495
12 minutes,1112
5 seconds,7771
27 seconds,608
6 hours,812
31 years,349
6 seconds,5191
16 years,30
4,14427
30 seconds,2735
9 minutes,1492
16 minutes,1124
12 days,3920
4 months,792
7 minutes,2250
40 seconds,838
15 seconds,3498
4 minutes,3715
25 minutes,462
24 seconds,861
3,45198
1 minute,6653
14 seconds,1268
29 seconds,617
38 minutes,191
2 months,656
42 seconds,489
11 days,234
3 years,679
23 hours,163
3 minutes,5859
18 seconds,1261
16 seconds,1459
47 seconds,950
20 minutes,583
5 minutes,4350
6 minutes,2714
4 hours,1537
8 days,259
8 hours,1214
51 seconds,449
24 minutes,618
55 seconds,371
20 seconds,1457
1 hour,3345
33 seconds,1151
18 minutes,441
50 minutes,840
26 minutes,365
11 seconds,1589
12 seconds,2045
9 days,208
31 seconds,692
1 month,625
36 seconds,710
9 seconds,3325
11 months,139
2 days,1445
15 hours,277
10 minutes,1307
7 seconds,3866
17 seconds,997
53 seconds,426
32 seconds,762
10 hours,433
19 seconds,970
10 days,201
21 seconds,920
59 seconds,299
55 minutes,271
48 seconds,690
34 minutes,289
14 hours,339
33 minutes,230
42 minutes,173
5 hours,891
15 minutes,715
9 hours,629
22 minutes,384
5 days,642
43 seconds,466
23 seconds,949
39 seconds,505
24 hours,93
16 days,118
44 minutes,140
1 year,345
49 minutes,151
13 seconds,1518
7 hours,622
23 minutes,336
34 seconds,580
46 minutes,182
25 seconds,725
28 minutes,268
35 seconds,557
11 hours,455
17 hours,298
35 minutes,238
31 minutes,228
2 hours,3483
8 years,54
2 years,346
11 minutes,1118
57 years,4
53 minutes,161
5 years,138
6 years,97
14 minutes,941
60 minutes,63
3 months,310
19 years,42
26 seconds,812
21 days,77
57 seconds,291
19 minutes,388
45 minutes,142
44 seconds,783
38 seconds,545
13 hours,508
46 seconds,427
34 years,11
54 seconds,305
28 seconds,857
5 months,199
6 days,396
17 days,129
7 days,347
56 seconds,293
12 hours,527
13 days,140
14 years,57
15 days,97
48 minutes,130
17 years,21
18 hours,200
58 seconds,360
45 seconds,420
27 minutes,312
14 days,138
49 seconds,314
19 hours,207
37 minutes,289
39 minutes,197
9 months,78
50 seconds,435
40 minutes,220
21 hours,141
18 days,79
32 minutes,222
52 seconds,291
21 minutes,354
41 seconds,379
29 minutes,219
23 days,68
28 years,8
6 months,142
8 months,98
93 years,54
11 years,38
10 years,42
10 months,63
9 years,95
7 years,68
22 hours,154
44 years,8
7 months,101
58 minutes,130
59 minutes,141
19 days,87
57 minutes,122
47 minutes,143
54 minutes,141
22 years,17
36 minutes,169
24 days,58
28 days,55
25 days,46
16 hours,246
20 days,62
4 years,129
41 minutes,159
73 years,7
90 years,6
65 years,1
43 minutes,160
20 hours,193
50 years,12
60 seconds,127
22 days,51
29 days,45
30 days,46
59 years,3
26 years,8
52 minutes,187
30 minutes,251
56 minutes,126
25 years,21
27 days,41
26 days,36
13 years,33
31 days,20
12 years,33
24 years,18
15 years,46
48 years,9
37 years,10
12 months,32
52 years,7
29 years,27
51 minutes,129
20 years,25
35 years,11
98 years,2
60 years,7
18 years,26
30 years,17
77 years,4
71 years,5
63 years,7
47 years,6
46 years,7
32 years,7
21 years,16
36 years,8
94 years,4
41 years,5
85 years,3
61 years,5
27 years,18
70 years,1
23 years,13
33 years,5
38 years,19
67 years,4
100 years,3
62 years,4
45 years,9
87 years,4
75 years,9
39 years,10
56 years,6
82 years,3
43 years,8
51 years,7
69 years,4
88 years,5
83 years,3
81 years,4
49 years,6
96 years,2
64 years,6
40 years,6
55 years,5
68 years,3
91 years,3
58 years,5
42 years,6
53 years,5
54 years,3
72 years,3
66 years,3
99 years,2
76 years,3
97 years,4
95 years,3
84 years,4
86 years,2
79 years,2
92 years,2
89 years,2
78 years,2
80 years,2
74 years,1
