character,occurrence
0,0
1,0
9,0
5,0
2,0
7,0
4,0
6,0
3,0
8,0
w,720787
y,1178409
f,1019569
n,2824994
i,2901115
a,4765825
o,3032897
t,2330846
h,1445038
g,1246214
b,1394747
e,4117161
l,2288087
s,2757204
B,134407
I,115795
L,135003
Y,97690
R,151965
A,223319
p,1150596
r,3093722
v,769292
u,1394784
m,1732498
c,1629286
D,133399
C,133752
d,1705084
x,445366
k,1341595
z,529707
H,110159
j,677971
M,142666
O,113118
S,168690
E,174236
F,109202
q,320815
X,74301
T,137598
G,113030
N,134863
P,120631
J,93062
W,86311
U,102114
V,87765
Q,66359
Z,77862
K,107283
