name,username,password,both
mary, 6411, 3826, 438
patricia, 539, 591, 18
jennifer, 1052, 3676, 40
linda, 2829, 2297, 184
elizabeth, 465, 395, 12
barbara, 879, 789, 35
susan, 2021, 1387, 145
jessica, 1224, 3696, 70
sarah, 2272, 1938, 152
margaret, 293, 336, 12
karen, 2342, 1227, 175
nancy, 950, 727, 57
lisa, 7143, 4319, 658
betty, 922, 829, 67
dorothy, 151, 260, 7
sandra, 3098, 1924, 199
ashley, 1457, 3458, 89
kimberly, 516, 599, 5
donna, 1354, 1431, 96
emily, 910, 1112, 61
carol, 3025, 2959, 245
michelle, 1144, 3179, 35
amanda, 1576, 3559, 119
melissa, 864, 1678, 52
deborah, 313, 245, 14
stephanie, 440, 261, 10
rebecca, 628, 987, 29
laura, 2003, 1459, 167
helen, 2711, 1216, 174
sharon, 1883, 974, 91
cynthia, 325, 338, 22
kathleen, 215, 337, 11
amy, 5899, 3243, 452
shirley, 410, 360, 13
angela, 1606, 1554, 125
anna, 23176, 13639, 2584
ruth, 1636, 1114, 117
brenda, 1178, 1025, 96
pamela, 554, 754, 50
nicole, 1445, 3482, 107
katherine, 190, 145, 3
samantha, 466, 1429, 25
christine, 435, 299, 10
catherine, 336, 185, 10
virginia, 126, 465, 10
debra, 404, 208, 17
rachel, 951, 1568, 51
janet, 867, 551, 39
emma, 2263, 1840, 173
carolyn, 291, 276, 14
maria, 7560, 4082, 555
heather, 852, 2051, 45
diane, 677, 444, 43
julie, 2291, 1759, 167
joyce, 601, 348, 45
evelyn, 621, 325, 44
joan, 1639, 1387, 123
victoria, 841, 1160, 44
kelly, 3226, 1951, 193
christina, 444, 188, 11
lauren, 1463, 1706, 107
frances, 645, 590, 40
martha, 323, 416, 16
judith, 216, 263, 14
cheryl, 478, 461, 23
megan, 701, 969, 52
andrea, 3154, 3629, 250
olivia, 414, 833, 32
ann, 72128, 40912, 7088
jean, 4229, 2200, 348
alice, 1200, 931, 101
jacqueline, 99, 39, 2
hannah, 620, 1687, 54
doris, 320, 266, 25
kathryn, 182, 234, 7
gloria, 448, 501, 26
teresa, 483, 658, 30
sara, 6835, 4982, 553
janice, 286, 307, 19
marie, 2802, 1938, 170
julia, 6497, 2278, 487
grace, 1040, 1173, 71
judy, 699, 411, 40
theresa, 241, 198, 6
madison, 387, 1273, 19
beverly, 207, 213, 9
denise, 934, 795, 43
marilyn, 257, 258, 12
amber, 2493, 2413, 192
danielle, 536, 981, 44
rose, 7025, 5573, 536
brittany, 242, 540, 4
diana, 4081, 1991, 464
abigail, 134, 367, 11
natalie, 609, 675, 25
jane, 4078, 2830, 289
lori, 4505, 3624, 303
alexis, 944, 1094, 84
tiffany, 501, 1053, 30
kayla, 440, 706, 35
