name,username,password,both
james, 12244, 5346, 917
john, 35557, 12070, 2670
robert, 9757, 5915, 543
michael, 8125, 6294, 361
william, 3521, 4154, 162
david, 16248, 5367, 1067
richard, 4888, 2405, 246
joseph, 2795, 2089, 149
thomas, 6021, 4689, 400
charles, 2690, 1628, 164
christopher, 753, 194, 13
daniel, 8383, 6740, 689
matthew, 2408, 3529, 148
anthony, 2686, 3291, 150
donald, 1941, 1086, 100
mark, 24701, 8112, 1977
paul, 17140, 5696, 1319
steven, 4146, 1901, 226
andrew, 6118, 4881, 410
kenneth, 1052, 579, 38
george, 4669, 4235, 296
joshua, 1693, 3559, 159
kevin, 6119, 2239, 423
brian, 7448, 2877, 471
edward, 2766, 1981, 180
ronald, 2037, 1548, 155
timothy, 1037, 650, 85
jason, 6745, 2853, 519
jeffrey, 1375, 662, 53
ryan, 12352, 4135, 877
jacob, 2571, 1394, 193
gary, 6786, 1511, 417
nicholas, 720, 959, 61
eric, 14733, 10206, 1084
stephen, 2190, 932, 71
jonathan, 1239, 986, 42
larry, 3569, 1251, 219
justin, 3288, 3796, 270
scott, 11057, 3821, 728
brandon, 1679, 1700, 134
frank, 8711, 4091, 651
benjamin, 856, 829, 40
gregory, 1214, 681, 35
raymond, 902, 576, 33
samuel, 1376, 1041, 124
patrick, 3042, 2125, 163
alexander, 1925, 777, 66
jack, 17195, 12267, 1515
dennis, 2519, 1321, 134
jerry, 3356, 1380, 238
tyler, 1964, 1470, 144
aaron, 2823, 1224, 198
henry, 2728, 1178, 179
jose, 8246, 4191, 593
douglas, 1336, 769, 52
peter, 10170, 3821, 781
adam, 10665, 3918, 1029
nathan, 3154, 2626, 225
zachary, 175, 609, 16
walter, 1101, 1011, 60
kyle, 2665, 1286, 251
harold, 597, 407, 34
carl, 11743, 5949, 1012
jeremy, 1927, 1235, 141
gerald, 959, 493, 53
keith, 2982, 846, 130
roger, 4105, 1454, 272
arthur, 1536, 1117, 124
terry, 2669, 869, 155
lawrence, 603, 423, 17
sean, 4949, 1628, 363
christian, 1307, 398, 33
ethan, 909, 999, 69
austin, 1878, 2481, 166
joe, 23086, 7658, 1939
albert, 4080, 2021, 320
jesse, 1605, 792, 93
willie, 721, 1109, 64
billy, 5254, 2769, 460
bryan, 3186, 1157, 212
bruce, 2653, 1216, 134
noah, 572, 517, 46
jordan, 2422, 5769, 213
dylan, 915, 929, 69
ralph, 1695, 721, 104
roy, 11305, 4571, 858
alan, 10023, 4205, 822
wayne, 1901, 1137, 130
eugene, 981, 591, 59
juan, 4539, 2217, 457
gabriel, 4100, 1691, 268
louis, 2104, 1601, 127
russell, 1195, 654, 53
randy, 3381, 2251, 219
vincent, 789, 757, 45
philip, 2431, 1244, 132
logan, 1598, 1184, 144
bobby, 3715, 1859, 315
harry, 2988, 1693, 256
johnny, 4846, 2095, 287
