dd,mm,yy,occurrence
1,1,1987,138
2,1,1987,108
3,1,1987,71
4,1,1987,59
5,1,1987,69
6,1,1987,60
7,1,1987,53
8,1,1987,54
9,1,1987,64
10,1,1987,61
11,1,1987,70
12,1,1987,106
13,1,1987,77
14,1,1987,69
15,1,1987,80
16,1,1987,71
17,1,1987,81
18,1,1987,83
19,1,1987,72
20,1,1987,58
21,1,1987,58
22,1,1987,58
23,1,1987,56
24,1,1987,72
25,1,1987,56
26,1,1987,65
27,1,1987,56
28,1,1987,80
29,1,1987,72
30,1,1987,67
31,1,1987,78
1,2,1987,68
2,2,1987,120
3,2,1987,63
4,2,1987,66
5,2,1987,67
6,2,1987,78
7,2,1987,67
8,2,1987,42
9,2,1987,59
10,2,1987,68
11,2,1987,73
12,2,1987,71
13,2,1987,70
14,2,1987,76
15,2,1987,61
16,2,1987,72
17,2,1987,71
18,2,1987,71
19,2,1987,60
20,2,1987,54
21,2,1987,72
22,2,1987,66
23,2,1987,71
24,2,1987,57
25,2,1987,66
26,2,1987,74
27,2,1987,63
28,2,1987,50
1,3,1987,64
2,3,1987,99
3,3,1987,66
4,3,1987,43
5,3,1987,64
6,3,1987,51
7,3,1987,51
8,3,1987,69
9,3,1987,63
10,3,1987,81
11,3,1987,68
12,3,1987,83
13,3,1987,91
14,3,1987,59
15,3,1987,69
16,3,1987,71
17,3,1987,81
18,3,1987,53
19,3,1987,64
20,3,1987,72
21,3,1987,89
22,3,1987,70
23,3,1987,81
24,3,1987,74
25,3,1987,82
26,3,1987,75
27,3,1987,78
28,3,1987,49
29,3,1987,56
30,3,1987,65
31,3,1987,69
1,4,1987,79
2,4,1987,98
3,4,1987,71
4,4,1987,69
5,4,1987,48
6,4,1987,72
7,4,1987,71
8,4,1987,44
9,4,1987,73
10,4,1987,69
11,4,1987,72
12,4,1987,68
13,4,1987,88
14,4,1987,69
15,4,1987,69
16,4,1987,66
17,4,1987,75
18,4,1987,57
19,4,1987,64
20,4,1987,51
21,4,1987,66
22,4,1987,92
23,4,1987,80
24,4,1987,55
25,4,1987,68
26,4,1987,54
27,4,1987,67
28,4,1987,85
29,4,1987,66
30,4,1987,84
1,5,1987,65
2,5,1987,91
3,5,1987,70
4,5,1987,66
5,5,1987,92
6,5,1987,63
7,5,1987,72
8,5,1987,77
9,5,1987,71
10,5,1987,83
11,5,1987,88
12,5,1987,73
13,5,1987,81
14,5,1987,68
15,5,1987,73
16,5,1987,82
17,5,1987,74
18,5,1987,76
19,5,1987,80
20,5,1987,62
21,5,1987,59
22,5,1987,67
23,5,1987,70
24,5,1987,57
25,5,1987,70
26,5,1987,61
27,5,1987,74
28,5,1987,77
29,5,1987,63
30,5,1987,71
31,5,1987,71
1,6,1987,79
2,6,1987,92
3,6,1987,70
4,6,1987,65
5,6,1987,65
6,6,1987,76
7,6,1987,44
8,6,1987,74
9,6,1987,51
10,6,1987,74
11,6,1987,66
12,6,1987,67
13,6,1987,79
14,6,1987,54
15,6,1987,65
16,6,1987,71
17,6,1987,67
18,6,1987,66
19,6,1987,83
20,6,1987,59
21,6,1987,68
22,6,1987,78
23,6,1987,66
24,6,1987,73
25,6,1987,70
26,6,1987,89
27,6,1987,46
28,6,1987,47
29,6,1987,61
30,6,1987,70
1,7,1987,82
2,7,1987,95
3,7,1987,75
4,7,1987,63
5,7,1987,52
6,7,1987,69
7,7,1987,93
8,7,1987,71
9,7,1987,56
10,7,1987,86
11,7,1987,68
12,7,1987,74
13,7,1987,68
14,7,1987,72
15,7,1987,77
16,7,1987,67
17,7,1987,75
18,7,1987,52
19,7,1987,48
20,7,1987,52
21,7,1987,72
22,7,1987,83
23,7,1987,45
24,7,1987,68
25,7,1987,65
26,7,1987,83
27,7,1987,79
28,7,1987,70
29,7,1987,57
30,7,1987,54
31,7,1987,52
1,8,1987,52
2,8,1987,106
3,8,1987,54
4,8,1987,70
5,8,1987,64
6,8,1987,73
7,8,1987,73
8,8,1987,48
9,8,1987,48
10,8,1987,68
11,8,1987,75
12,8,1987,66
13,8,1987,65
14,8,1987,55
15,8,1987,59
16,8,1987,50
17,8,1987,56
18,8,1987,60
19,8,1987,67
20,8,1987,56
21,8,1987,77
22,8,1987,70
23,8,1987,49
24,8,1987,62
25,8,1987,70
26,8,1987,54
27,8,1987,58
28,8,1987,46
29,8,1987,64
30,8,1987,45
31,8,1987,53
1,9,1987,85
2,9,1987,112
3,9,1987,57
4,9,1987,63
5,9,1987,66
6,9,1987,59
7,9,1987,58
8,9,1987,54
9,9,1987,61
10,9,1987,52
11,9,1987,58
12,9,1987,61
13,9,1987,64
14,9,1987,68
15,9,1987,73
16,9,1987,71
17,9,1987,72
18,9,1987,69
19,9,1987,61
20,9,1987,52
21,9,1987,65
22,9,1987,64
23,9,1987,72
24,9,1987,57
25,9,1987,78
26,9,1987,49
27,9,1987,66
28,9,1987,58
29,9,1987,71
30,9,1987,60
1,10,1987,92
2,10,1987,50
3,10,1987,60
4,10,1987,32
5,10,1987,52
6,10,1987,54
7,10,1987,58
8,10,1987,55
9,10,1987,54
10,10,1987,47
11,10,1987,50
12,10,1987,43
13,10,1987,56
14,10,1987,38
15,10,1987,58
16,10,1987,44
17,10,1987,55
18,10,1987,73
19,10,1987,60
20,10,1987,46
21,10,1987,78
22,10,1987,65
23,10,1987,68
24,10,1987,57
25,10,1987,75
26,10,1987,53
27,10,1987,55
28,10,1987,33
29,10,1987,53
30,10,1987,52
31,10,1987,53
1,11,1987,55
2,11,1987,70
3,11,1987,71
4,11,1987,53
5,11,1987,51
6,11,1987,49
7,11,1987,60
8,11,1987,51
9,11,1987,67
10,11,1987,63
11,11,1987,74
12,11,1987,58
13,11,1987,52
14,11,1987,62
15,11,1987,60
16,11,1987,64
17,11,1987,70
18,11,1987,72
19,11,1987,69
20,11,1987,59
21,11,1987,55
22,11,1987,53
23,11,1987,69
24,11,1987,76
25,11,1987,80
26,11,1987,64
27,11,1987,51
28,11,1987,64
29,11,1987,64
30,11,1987,66
1,12,1987,77
2,12,1987,49
3,12,1987,52
4,12,1987,59
5,12,1987,45
6,12,1987,51
7,12,1987,58
8,12,1987,71
9,12,1987,61
10,12,1987,83
11,12,1987,79
12,12,1987,76
13,12,1987,61
14,12,1987,57
15,12,1987,69
16,12,1987,81
17,12,1987,73
18,12,1987,70
19,12,1987,65
20,12,1987,56
21,12,1987,64
22,12,1987,82
23,12,1987,51
24,12,1987,69
25,12,1987,81
26,12,1987,65
27,12,1987,47
28,12,1987,62
29,12,1987,71
30,12,1987,76
31,12,1987,71
