0,3310470
1,4751113
9,2789963
w,720787
5,1980363
2,3111118
7,1931471
4,1845579
6,1890023
3,2168714
8,2036375
y,1178409
f,1019569
n,2824994
i,2901115
a,4765825
o,3032897
t,2330846
h,1445038
g,1246214
b,1394747
e,4117161
l,2288087
s,2757204
B,134407
I,115795
L,135003
Y,97690
R,151965
A,223319
p,1150596
r,3093722
v,769292
u,1394784
m,1732498
c,1629286
D,133399
C,133752
d,1705084
x,445366
k,1341595
z,529707
H,110159
j,677971
M,142666
O,113118
S,168690
E,174236
F,109202
q,320815
X,74301
_,38379
T,137598
G,113030
N,134863
P,120631
*,9939
.,37900
J,93062
W,86311
U,102114
V,87765
Q,66359
Z,77862
-,20346
K,107283
!,10353
%,1042
=,810
@,7719
$,3950
?,4527
',744
&,1011
#,2781
;,625
~,228
+,271
(,93
^,379
[,167
\,382
],133
|,75
,31
>,3
/,65
`,65
ª,20
»,19
:,9
},20
{,14
),11
,2
,1
,1
¬,3
¦,3
¼,5
<,2
é,2
,2
